Enrollment (# of students who started the program),,,,,,,,,,,,,,,,,,
Parent Education Level,,,,,Summer 25 (enrolled),n=,Summer 25 (active),n=,SY2025-26 (enrolled),n=,SY2025-26 (active),n=,,,,,,
"Yes, graduated with a college degree",,,,,#REF!,#REF!,#DIV/0!,0,#REF!,#REF!,#DIV/0!,0,,,,,,
"Yes, attended but did not finish",,,,,#REF!,#REF!,#DIV/0!,0,#REF!,#REF!,#DIV/0!,0,,,,,,
"No, have not attended college",,,,,#REF!,#REF!,#DIV/0!,0,#REF!,#REF!,#DIV/0!,0,,,,,,
,,,,,,,,,,,,,,,,,,
Family Income,Summer 24 (enrolled),Average # of dependents (enrolled),Summer 24 (active),Average # of dependents (active),SY2024-25 (enrolled),Average # of dependents (enrolled),SY2024-25 (active),Average # of dependents (active),SY2025-26 (enrolled),Average # of dependents (enrolled),SY2025-26 (active),Average # of dependents (active),,,,,,
"< $50,000",52%,3.3,57%,3.3,51%,3.3,51%,3.4,#REF!,#N/A,#REF!,#N/A,,,,,,
"$50,000 - $74,999",20%,2.6,21%,2.6,21%,3.0,20%,3.1,#REF!,#N/A,#REF!,#N/A,,,,,,
"$75,000 - $99,999",14%,3.1,12%,3.4,13%,3.3,14%,3.0,#REF!,#N/A,#REF!,#N/A,,,,,,
"$100,000 - $200,000",11%,3.8,13%,3.7,9%,2.7,10%,2.6,#REF!,#N/A,#REF!,#N/A,,,,,,
"> $200,000",2%,2,2%,2,4%,2.6,3%,2.7,#REF!,#N/A,#REF!,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,
Race/Ethnicity (Select All),SY2023-24 (enrolled),n=,Summer 24 (enrolled),n=,Summer 24 (active),n=,SY2024-25 (enrolled),n=,SY2024-25 (active),n=,Summer 25 (enrolled),n=,Summer 25 (active),n=,SY2025-26 (enrolled),n=,SY2025-26 (active),n=
Black or African-American,25%,55,25%,23,25%,20,30%,80,29%,64,#REF!,#REF!,#N/A,0,#REF!,#REF!,#REF!,0
"American Indian, Alaska native or First Nations",1%,3,1%,1,1%,1,1%,3,1%,2,#REF!,#REF!,#N/A,0,#REF!,#REF!,#REF!,0
Asian,29%,63,36%,33,39%,31,34%,92,33%,73,#REF!,#REF!,#N/A,0,#REF!,#REF!,#REF!,0
Hispanic or Latinx,36%,78,37%,34,41%,33,40%,107,39%,85,#REF!,#REF!,#N/A,0,#REF!,#REF!,#REF!,0
Middle Eastern or North African,0%,,1%,1,1%,1,1%,3,1%,3,#REF!,#REF!,#N/A,0,#REF!,#REF!,#REF!,0
Native Hawaiian or other Pacific Islander,0%,,1%,1,1%,1,0%,1,0%,1,#REF!,#REF!,#N/A,0,#REF!,#REF!,#REF!,0
White,9%,20,12%,11,11%,9,12%,33,13%,29,#REF!,#REF!,#N/A,0,#REF!,#REF!,#REF!,0
Prefer not to say,,13,4%,4,5%,4,3%,9,3%,7,#REF!,#REF!,#N/A,0,#REF!,#REF!,#REF!,0
,,,,,,,,,,,,,,,,,,
Gender (Select All),SY2023-24 (enrolled),n=,Summer 24 (enrolled),n=,Summer 24 (active),n=,SY2024-25 (enrolled),n=,SY2024-25 (active),n=,Summer 25 (enrolled),n=,Summer 25 (active),n=,SY2025-26 (enrolled),n=,SY2025-26 (active),n=
